START_DATE,ACRES_BURNED,LATITUDE,LONGITUDE,BURN_SEVERITY_CODE,SEVERITY_DESC,FBFM40_CODE,FBFM40_TITLE,BPS_CODE,BPS_NAME,TEMPERATURE,PRECIPITATION,WIND_SPEED,HUMIDITY,TEMPERATURE_7D_MAX,HUMIDITY_7D_MIN,WIND_SPEED_7D_MAX,PRECIPITATION_7D_SUM,VPD_7D_MEAN,VPD_7D_MAX,PRECIPITATION_30D_SUM,DAYS_SINCE_RAIN,ELEVATION,SLOPE,ASPECT_SIN,ASPECT_COS
2012-08-16,3196.0,42.017944629824115,-115.44553374801043,3.0,Moderate Burn Severity,102,GR2,1231,Great Basin Xeric Mixed Sagebrush Shrubland,23.093605041503903,0.0015163421630859,1.938511610031128,28.618539810180664,33.836090087890625,9.969806671142578,5.910691261291504,0.0035390853881835,2.1531901359558105,4.559615135192871,0.0084385871887207,30,1790.0,2.07729580195104,0.9994059993535875,0.034462275839778435
2012-07-10,1481.0,42.027014038058766,-114.68349175745053,2.0,Low Burn Severity,122,GS2,1238,Inter-Mountain Basins Big Sagebrush Steppe,25.120349884033203,0.0030105113983154,1.9164483547210691,31.41794204711914,34.746002197265625,7.403308868408203,5.9820170402526855,0.0038883686065673,2.2202467918395996,5.0639543533325195,0.0045607089996337,30,1660.0,2.71574186788701,0.3162277660168384,-0.9486832980505137
2011-08-03,1422.0,42.00165344557016,-115.24590695247282,2.0,Low Burn Severity,102,GR2,1239,Inter-Mountain Basins Montane Sagebrush Steppe,20.797571182250977,0.0030779838562011,2.5200881958007812,48.88458251953125,31.869293212890625,10.214086532592772,6.415889263153076,0.0034222602844238,1.7668708562850952,4.238873481750488,0.0068252086639404,30,1796.0,2.3304832358298855,-0.18428853505018553,0.9828721869343219
1987-09-20,2351.0,42.07417927559359,-115.0080344427597,3.0,Moderate Burn Severity,122,GS2,1239,Inter-Mountain Basins Montane Sagebrush Steppe,12.093167304992676,0.0,2.2088756561279297,28.037933349609375,25.263824462890625,10.159181594848633,6.007513999938965,0.0005955696105957,1.208987832069397,2.8147284984588623,0.0042462348937988,30,1975.0,4.176064101392827,0.6163082616581099,-0.7875050010075864
1989-07-15,2047.0,42.151037686604354,-114.71505251757182,1.0,Unburned/Underburned to Low Burn Severity,122,GS2,1238,Inter-Mountain Basins Big Sagebrush Steppe,23.98522567749023,0.0032129287719726,3.0344371795654297,35.070289611816406,32.900299072265625,7.9895920753479,7.225605010986328,0.0032205581665039,2.229799747467041,4.381551742553711,0.0093669891357421,30,1576.0,0.9554377327234477,-0.2248595066987587,-0.9743911956946198
1994-07-18,2756.0,42.0603924398637,-115.2409259916824,1.0,Unburned/Underburned to Low Burn Severity,101,GR1,1238,Inter-Mountain Basins Big Sagebrush Steppe,22.84428024291992,0.0001659393310546,2.1784236431121826,21.925060272216797,32.028472900390625,7.790680408477783,5.409905910491943,0.0001659393310546,2.261545181274414,4.206085681915283,0.0059852600097656,30,1677.0,5.367644318951922,-0.7583167199710233,0.6518863031329839
1994-07-29,2004.0,42.07456934963439,-115.10789947201252,2.0,Low Burn Severity,102,GR2,1239,Inter-Mountain Basins Montane Sagebrush Steppe,26.31193733215332,0.0015983581542968,2.0986814498901367,27.028839111328125,34.483306884765625,10.112853050231934,6.123143196105957,0.0039296150207519,2.5066111087799072,4.734725475311279,0.0090045928955078,30,1767.0,3.557736846816334,0.8645071866841926,0.502620457374531
2001-07-04,3443.0,42.09868235830247,-114.79962727404616,4.0,High Burn Severity,142,SH2,1239,Inter-Mountain Basins Montane Sagebrush Steppe,26.79865837097168,5.8650970458984375e-05,2.2690141201019287,21.77770614624023,35.163238525390625,9.274543762207031,7.039051055908203,0.0013060569763183,2.4792821407318115,4.977677822113037,0.0103206634521484,22,1694.0,6.532476472130729,-0.5894690700594233,0.8077909478592087
2010-08-06,1729.0,42.10117714933183,-114.80145346923209,4.0,High Burn Severity,142,SH2,1221,Great Basin Pinyon-Juniper Woodland,25.356958389282227,0.0001559257507324,3.3930702209472656,18.359912872314453,33.041900634765625,4.611793518066406,6.868793487548828,0.0005345344543457,2.4891879558563232,4.694115161895752,0.0128059387207031,30,1747.0,17.84380172193347,-0.683424288081134,0.730021398632119
2013-07-01,3061.0,42.09423113827714,-114.63296662001504,4.0,High Burn Severity,101,GR1,1239,Inter-Mountain Basins Montane Sagebrush Steppe,27.927499771118164,0.0003223419189453,2.333317756652832,23.468889236450195,35.390777587890625,7.548210620880127,6.386429786682129,0.0017528533935546,2.4127252101898193,5.20618200302124,0.009103775024414,30,1864.0,13.970341940794619,0.5878729002357642,-0.8089533071620334
